CÓDIGOS ÚNICOS DE MEDIDA,MEDIDAS IMPUESTAS,COORDINACIÓN,N° DOC DE DICTADO DE MEDIDA ADMINISTRATIVA (RESOLUCION/ACTA),TIPO DOC DE DICTADO DE MEDIDA ADMINISTRATIVA,FECHA DE DOCUMENTO QUE DICTA MEDIDA ADMINISTRATIVA,FECHA DE NOTIFICACIÓN DEL DOC QUE DICTA MEDIDA ADMINISTRATIVA,ORIGEN DE LA MEDIDA ADMINISTRATIVA,CÓDIGO /NÚMERO DE DOCUMENTO DE ORIGEN,N° DE EXPEDIENTE,ADMINISTRADO,UNIDAD FISCALIZABLE
0162-2021/ACTA 0004-CMIN,0162-2021/ACTA 0004-CMIN,CMIN,ACTA 0004-2021-OEFA/DSEM-CMIN,ACTA,13/8/2021,13/8/2021,IMPUESTA EN CAMPO,ACTA 0004-2021-OEFA/DSEM-CMIN,0162-2021-DSEM-CMIN,NEXA RESOURCES EL PORVENIR S.A.C.,EL PORVENIR
0213-2021/ACTA 0005-CMIN,0213-2021/ACTA 0005-CMIN,CMIN,ACTA 0005-2021-OEFA/DSEM-CMIN,ACTA,30/10/2021,30/10/2021,IMPUESTA EN CAMPO,ACTA 0005-2021-OEFA/DSEM-CMIN,0213-2021-DSEM-CMIN,MINERA BOROO MISQUICHILCA S.A.,LAGUNAS NORTE
0010-2020/ACTA 0001-CMIN,0010-2020/ACTA 0001-CMIN,CMIN,ACTA 0001-2020-OEFA/DSEM-CMIN,ACTA,15/1/2020,15/1/2020,IMPUESTA EN CAMPO,ACTA 0001-2020-OEFA/DSEM-CMIN,0010-2020-DSEM-CMIN,MINERA IRL S.A.,CORIHUARMI
0026-2020/ACTA 0002-CMIN,0026-2020/ACTA 0002-CMIN,CMIN,ACTA 0002-2020-OEFA/DSEM-CMIN,ACTA,17/2/2020,17/2/2020,IMPUESTA EN CAMPO,ACTA 0002-2020-OEFA/DSEM-CMIN,0026-2020-DSEM-CMIN,ANABI S.A.C.,UTUNSA
0029-2020/ACTA 0003-CMIN,0029-2020/ACTA 0003-CMIN,CMIN,ACTA 0003-2020-OEFA/DSEM-CMIN,ACTA,21/2/2020,21/2/2020,IMPUESTA EN CAMPO,ACTA 0003-2020-OEFA/DSEM-CMIN,0029-2020-DSEM-CMIN,VOLCAN COMPANIA MINERA S.A.A.,TICLIO
0004-2020/ACTA 0004-CMIN,0004-2020/ACTA 0004-CMIN,CMIN,ACTA 0004-2020-OEFA/DSEM-CMIN,ACTA,15/3/2020,15/3/2020,IMPUESTA EN CAMPO,ACTA 0004-2020-OEFA/DSEM-CMIN,0004-2020-DSEM-CMIN,ARUNTANI S.A.C.,ARASI
0255-2020/ACTA 0005-CMIN,0255-2020/ACTA 0005-CMIN,CMIN,ACTA 0005-2020-OEFA/DSEM-CMIN,ACTA,21/10/2020,21/10/2020,IMPUESTA EN CAMPO,ACTA 0005-2020-OEFA/DSEM-CMIN,0255-2020-DSEM-CMIN,ACTIVOS MINEROS S.A.C.,PASIVOS AMBIENTALES MINEROS DE LA EX UNIDAD MINERA SAN ANTONIO DE ESQUILACHE
0007-2022/ACTA 0001-CMIN,0007-2022/ACTA 0001-CMIN,CMIN,ACTA 0001-2022-OEFA/DSEM-CMIN,ACTA,1/2/2022,1/2/2022,IMPUESTA EN CAMPO,ACTA 0001-2022-OEFA/DSEM-CMIN,0007-2022-DSEM-CMIN,CONSORCIO DE INGENIEROS EJECUTORES MINEROS S.A.,EL COFRE
0039-2022/ACTA 0002-CMIN,0039-2022/ACTA 0002-CMIN,CMIN,ACTA 0002-2022-OEFA/DSEM-CMIN,ACTA,31/3/2022,31/3/2022,IMPUESTA EN CAMPO,ACTA 0002-2022-OEFA/DSEM-CMIN,0039-2022-DSEM-CMIN,EMP.EXPLOTADORA DE VINCHOS LTDA S.A.C.,VINCHOS
0059-2022/ACTA 0003-CMIN,0059-2022/ACTA 0003-CMIN,CMIN,ACTA 0003-2022-OEFA/DSEM-CMIN,ACTA,13/4/2022,13/4/2022,IMPUESTA EN CAMPO,ACTA 0003-2022-OEFA/DSEM-CMIN,0059-2022-DSEM-CMIN,LA ARENA S.A.,LA ARENA
