CÓDIGOS ÚNICOS DE MEDIDA,MEDIDAS IMPUESTAS,COORDINACIÓN,N° DOC DE DICTADO DE MEDIDA ADMINISTRATIVA (RESOLUCION/ACTA),TIPO DOC DE DICTADO DE MEDIDA ADMINISTRATIVA,FECHA DE DOCUMENTO QUE DICTA MEDIDA ADMINISTRATIVA,FECHA DE NOTIFICACIÓN DEL DOC QUE DICTA MEDIDA ADMINISTRATIVA,ORIGEN DE LA MEDIDA ADMINISTRATIVA,CÓDIGO /NÚMERO DE DOCUMENTO DE ORIGEN,N° DE EXPEDIENTE,ADMINISTRADO,UNIDAD FISCALIZABLE
0089-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0028-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0028-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0040-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0067-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0067-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0046-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0046-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0046-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0046-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0050-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0067-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0067-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0067-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0067-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0076-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0049-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0124-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0059-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0060-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0086-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0085-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0091-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0078-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0122-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0107-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0125-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0105-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0106-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0126-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0111-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0111-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0111-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0224-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0166-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0166-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0149-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0165-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0180-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0179-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0185-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0185-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0206-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0175-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0190-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0020-2022-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0047-2022-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0225-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0006-2022-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0065-2018-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0047-2019-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0047-2019-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0064-2022-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0064-2022-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0069-2022-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0069-2022-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0069-2022-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0070-2022-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0075-2022-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0065-2022-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0155-2022-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0099-2022-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0206-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0036-2016-OEFA/DS/MODIFICADA,,,,,,,,,,,
0036-2016-OEFA/DS/MODIFICADA,,,,,,,,,,,
0035-2020-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0129-2022-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0129-2022-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0157-2022-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0165-2022-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0169-2022-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0170-2022-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0171-2022-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0183-2022-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0190-2022-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0195-2022-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0195-2022-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0195-2022-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0196-2022-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0209-2022-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0213-2022-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0217-2022-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0221-2022-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0221-2022-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0221-2022-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0239-2022-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0249-2022-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0262-2022-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0263-2022-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0263-2022-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0263-2022-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0269-2022-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0275-2022-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0275-2022-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0275-2022-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0278-2022-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0001-2023-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0003-2023-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0021-2023-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0024-2023-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0043-2023-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0047-2023-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0061-2023-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0064-2023-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0064-2023-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0068-2023-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0068-2023-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0098-2023-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0105-2023-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0109-2023-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0109-2023-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0119-2023-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0115-2023-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0115-2023-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0120-2023-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0120-2023-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0133-2023-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0146-2023-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0148-2023-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0150-2023-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0158-2023-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0159-2023-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0160-2023-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0161-2023-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0162-2023-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0182-2023-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0182-2023-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0183-2023-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0184-2023-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0184-2023-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0186-2023-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0187-2023-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0188-2023-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0191-2023-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0191-2023-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0191-2023-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0191-2023-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0191-2023-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0192-2023-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0194-2023-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0195-2023-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0195-2023-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0209-2023-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0210-2023-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0210-2023-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0013-2024-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0013-2024-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0019-2024-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0024-2024-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0024-2024-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0024-2024-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0039-2024-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0057-2024-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0068-2024-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0069-2024-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0078-2024-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0078-2024-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0094-2024-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0094-2024-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0097-2024-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0098-2024-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0098-2024-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0103-2024-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0107-2024-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0115-2024-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0101-2024-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0128-2024-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0130-2024-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0166-2024-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0270-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0270-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0262-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0262-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0229-2024-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0020-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0066-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0066-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0066-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0221-2024-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0105-2026-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0178-2024-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0204-2024-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0215-2024-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0229-2024-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0197-2024-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0247-2024-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0249-2024-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0261-2024-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0272-2024-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0279-2024-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0007-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0018-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0272-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0025-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0010-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0030-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0013-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0027-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0263-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0046-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0062-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0062-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0062-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0065-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0065-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0065-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0062-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0080-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0080-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0082-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0098-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0098-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0110-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0110-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0115-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0120-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0131-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0145-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0133-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0133-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0152-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0157-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0157-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0157-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0172-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0176-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0176-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0176-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0177-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0178-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0179-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0187-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0187-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0187-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0187-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0196-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0207-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0206-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0211-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0215-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0217-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0217-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0227-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0228-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0228-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0253-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0253-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0246-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0252-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0236-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0236-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0236-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0236-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0236-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0236-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0236-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0236-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0236-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0236-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0236-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0236-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0236-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0236-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0236-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0236-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0236-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0236-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0236-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0236-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0236-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0236-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0236-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0236-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0236-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0236-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0236-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0277-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0277-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0292-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0294-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0295-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0299-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0309-2025-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0007-2026-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0007-2026-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0007-2026-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0007-2026-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0022-2026-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0008-2026-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0019-2026-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0061-2020-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0061-2020-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0028-2026-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0029-2026-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0032-2026-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0046-2026-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0061-2026-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0055-2026-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0056-2026-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0056-2026-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0070-2026-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0083-2026-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0086-2026-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0115-2026-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0118-2026-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0120-2026-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0122-2026-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
